entrada_time,salida_time,año,mes,precio_entrada,precio_e1,precio_e2,scale_hit,precio_salida,sl_price,tp1_price,tp2_price,resultado,pnl_usd,pnl_pct,capital,duracion_h,rango_imp,tp1_hit,rsi_entrada,macd_hist,adx_entrada,plus_di,adx_bucket,rsi_bucket
2021-01-22 09:00:00,2021-01-22 14:00:00,2021,2021-01,41068.82,41090.96,41024.53,True,41068.82,41068.82,41432.4,42159.56,BE,33.18,0.66,10033.18,5.0,5.84,True,40.1,-139.23,29.4,23.0,25-30,40-45
2021-03-12 11:00:00,2021-03-12 19:00:00,2021,2021-03,68072.05,68072.05,,False,72156.37,68072.05,69433.49,72156.37,TP2,200.66,4.0,10233.84,8.0,2.81,True,48.4,-45.5289,16.2,28.4,,45-50
2021-03-14 10:00:00,2021-03-14 13:00:00,2021,2021-03,71053.17,71122.58,70914.35,True,69630.72,69630.72,71470.18,72304.2,SL,-146.37,-3.0,10087.48,3.0,2.91,False,52.8,-67.8468,15.5,33.4,,50-52
2021-06-07 20:00:00,2021-06-08 00:00:00,2021,2021-06,39649.43,39773.93,39400.44,True,38665.82,38665.82,40385.8,41858.52,SL,-134.31,-3.71,9953.17,4.0,9.39,False,46.7,-210.3519,19.7,28.7,,45-50
2021-06-15 20:00:00,2021-06-16 00:00:00,2021,2021-06,35272.75,35341.43,35135.38,True,35272.75,35272.75,35633.58,36355.25,BE,31.2,0.77,9984.37,4.0,4.75,True,45.8,-109.0822,17.5,32.1,,45-50
2021-07-16 00:00:00,2021-07-16 05:00:00,2021,2021-07,40270.91,40270.91,,False,40270.91,40270.91,41076.33,42687.16,BE,49.92,1.0,10034.29,5.0,6.41,True,52.9,-59.8338,21.7,22.6,,50-52
2021-07-18 15:00:00,2021-07-18 19:00:00,2021,2021-07,44282.39,44339.61,44167.94,True,44282.39,44282.39,44734.66,45639.21,BE,34.27,0.77,10068.56,4.0,5.74,True,52.2,-208.6243,24.0,28.5,,50-52
2021-09-09 08:00:00,2021-09-09 10:00:00,2021,2021-09,45300.92,45376.28,45150.21,True,44391.24,44391.24,45908.02,47122.21,SL,-139.47,-3.01,9929.08,2.0,7.63,False,48.0,-73.3946,16.1,24.6,,45-50
2021-10-03 21:00:00,2021-10-03 23:00:00,2021,2021-10,61728.82,61734.16,61718.13,True,61728.82,61728.82,62079.75,62781.61,BE,17.93,0.43,9947.02,2.0,4.11,True,48.4,-149.4457,15.5,23.0,,45-50
2021-10-07 11:00:00,2021-10-07 18:00:00,2021,2021-10,64436.25,64436.25,,False,64436.25,64436.25,66362.04,70213.63,BE,49.74,1.49,9996.75,7.0,5.66,True,53.8,-81.6986,17.2,29.8,,
