entrada_time,salida_time,año,mes,regime,precio_entrada,precio_salida,resultado,pnl_usd,pnl_pct,capital,duracion_h,rango_imp,tp1_hit
2021-01-02 09:00:00,2021-01-02 15:00:00,2021,2021-01,BULL_MODERADO,39005.1,38541.88,SL,-19.54,-0.39,9980.46,6.0,3.53,True
2021-01-08 14:00:00,2021-01-08 15:00:00,2021,2021-01,RECUPERACION,38209.84,38011.61,SL,14.15,0.28,9994.61,1.0,10.85,True
2021-01-10 18:00:00,2021-01-10 18:00:00,2021,2021-01,BULL_FUERTE,38587.07,38212.71,SL,-48.48,-0.97,9946.13,0.0,6.18,False
2021-01-11 05:00:00,2021-01-11 07:00:00,2021,2021-01,BULL_FUERTE,38402.74,38039.7,SL,-7.29,-0.15,9938.84,2.0,2.91,True
2021-01-14 06:00:00,2021-01-14 09:00:00,2021,2021-01,BULL_FUERTE,41284.04,41921.65,TP2,47.07,0.95,9985.91,3.0,5.84,True
2021-01-23 05:00:00,2021-01-23 05:00:00,2021,2021-01,BULL_FUERTE,40766.82,41324.87,TP2,38.58,0.77,10024.48,0.0,11.8,True
2021-01-23 13:00:00,2021-01-23 14:00:00,2021,2021-01,BULL_FUERTE,41200.33,40868.09,SL,-40.42,-0.81,9984.06,1.0,4.99,False
2021-01-27 04:00:00,2021-01-27 04:00:00,2021,2021-01,BULL_FUERTE,43064.7,42781.74,SL,-32.8,-0.66,9951.26,0.0,5.96,False
2021-01-28 13:00:00,2021-01-28 14:00:00,2021,2021-01,BULL_FUERTE,43304.58,42768.77,SL,-61.56,-1.24,9889.7,1.0,7.46,False
2021-01-30 00:00:00,2021-01-30 00:00:00,2021,2021-01,RECUPERACION,42275.12,42950.69,TP2,49.47,1.0,9939.17,0.0,7.51,True
2021-01-30 13:00:00,2021-01-30 14:00:00,2021,2021-01,BULL_FUERTE,43308.86,43933.72,TP2,42.05,0.85,9981.21,1.0,4.86,True
2021-02-01 04:00:00,2021-02-01 05:00:00,2021,2021-02,BULL_FUERTE,44627.71,45260.53,TP2,40.99,0.82,10022.21,1.0,7.44,True
2021-02-05 11:00:00,2021-02-05 11:00:00,2021,2021-02,BULL_FUERTE,46698.17,47541.95,TP2,60.53,1.21,10082.74,0.0,8.33,True
2021-02-11 13:00:00,2021-02-11 13:00:00,2021,2021-02,BULL_FUERTE,47541.23,46932.38,SL,-64.56,-1.28,10018.18,0.0,9.23,False
2021-02-17 23:00:00,2021-02-17 23:00:00,2021,2021-02,RECUPERACION,46914.02,46302.23,SL,-65.32,-1.3,9952.86,0.0,4.65,False
2021-02-19 17:00:00,2021-02-19 18:00:00,2021,2021-02,BULL_FUERTE,47361.99,47738.97,TP2,10.1,0.2,9962.96,1.0,19.59,True
2021-02-20 10:00:00,2021-02-20 11:00:00,2021,2021-02,RECUPERACION,46834.3,46378.88,SL,-48.44,-0.97,9914.52,1.0,2.16,False
